county,cases,latitude,longitude
Atlantic County,10,39.5143268,-74.6632883
Bergen County,1206,40.9678345,-74.0563254
Burlington County,64,39.9325409,-74.7226665
Camden County,73,39.8014709,-74.968553
Cape May County,6,39.1765386,-74.8012119
Cumberland County,4,39.3183341,-75.1623239
Essex County,609,40.7913922,-74.2479444
Gloucester County,33,39.7267303,-75.1535378
Hudson County,441,40.7381635,-74.0550731
Hunterdon County ,39,40.5770634,-74.9261552
Mercer County,111,40.2807177,-74.7033717
Middlesex County,505,40.4279708,-74.3963102
Monmouth County,501,40.2932319,-74.1671114
Morris County,315,40.8679538,-74.5601181
Ocean County,389,39.977818,-74.3319287
Passaic County,399,41.0461864,-74.3177933
Salem County,2,39.5980987,-75.3488201
Somerset County,179,40.5675084,-74.6189556
Sussex County,49,41.133372,-74.6930393
Union County,432,40.6652251,-74.3045277
Warren County,31,40.8602222,-74.9720493
