state,cases,deaths,serious,critical,recovered,latitude,longitude
Alabama,386,0,,,,33.2588817,33.2588817
Alaska,42,0,,,,64.4459613,64.4459613
American Samoa,0,0,,,,-14.300630949999999,-14.300630949999999
Arizona,401,6,,,1,34.395342,34.395342
Arkansas,280,2,,,,35.2048883,35.2048883
California,,65,,1,1,36.7014631,36.7014631
Colorado,,19,,,,38.7251776,38.7251776
Connecticut,875,19,,,,41.6500201,41.6500201
Delaware,104,0,,,,38.6920451,38.6920451
Diamond Princess (repatriated),46,0,,,2,,
District of Columbia,183,2,,,,38.893661249999994,38.893661249999994
Florida,,23,,,,27.7567667,27.7567667
Georgia,,32,,,,32.3293809,32.3293809
Grand Princess,21,0,,,,,
Guam,32,1,,,,13.450125700000001,13.450125700000001
Hawaii,95,0,,,,21.2160437,21.2160437
Idaho,73,0,,,,43.6447642,43.6447642
Illinois,,19,,,2,40.0796606,40.0796606
Indiana,477,14,,,,40.3270127,40.3270127
Iowa,145,1,,,,41.9216734,41.9216734
Kansas,129,2,,,,38.27312,38.27312
Kentucky,198,3,,,,37.5726028,37.5726028
Louisiana,,65,,,,30.8703881,30.8703881
Maine,142,0,,,7,45.709097,45.709097
Maryland,423,4,,,,39.5162234,39.5162234
Massachusetts,,15,,,,42.3788774,42.3788774
Michigan,,43,,,,43.6211955,43.6211955
Minnesota,287,1,,1,,45.9896587,45.9896587
Mississippi,377,5,,,,32.9715645,32.9715645
Missouri,369,8,,,,38.7604815,38.7604815
Montana,53,0,,,,47.3752671,47.3752671
Nebraska,61,0,,,,41.7370229,41.7370229
Nevada,321,6,,,,39.5158825,39.5158825
New Hampshire,137,1,,,,43.4849133,43.4849133
New Jersey,,62,,,,40.0757384,40.0757384
New Mexico,112,1,,,,34.5708167,34.5708167
New York,,285,660,,,40.7127281,40.7127281
North Carolina,504,1,,,,35.6729639,35.6729639
North Dakota,36,0,,,,47.6201461,47.6201461
Northern Mariana Islands,0,0,,,,14.149020499999999,14.149020499999999
Ohio,704,10,75,,,40.2253569,40.2253569
Oklahoma,106,2,,,,34.9550817,34.9550817
Oregon,266,10,,,,43.9792797,43.9792797
Pennsylvania,,11,,1,,40.9699889,40.9699889
Puerto Rico,39,2,,,,18.2214149,18.2214149
Rhode Island,124,0,,,,41.7962409,41.7962409
South Carolina,424,7,,,,33.6874388,33.6874388
South Dakota,30,1,,,8,44.6471761,44.6471761
Tennessee,784,3,,,,35.7730076,35.7730076
Texas,,15,,1,,31.8160381,31.8160381
U.S. Virgin Islands,17,0,,,,17.789187,17.789187
Utah,346,1,,,,39.4225192,39.4225192
Vermont,95,7,,,,44.5990718,44.5990718
Virginia,391,9,,,,37.1232245,37.1232245
Washington,,129,,,19,38.8948932,38.8948932
West Virginia,39,0,,,,38.4758406,38.4758406
Wisconsin,585,6,,,1,44.4308975,44.4308975
Wuhan (repatriated),3,0,,,,,
Wyoming,37,0,,,,43.1700264,43.1700264
