county,cases,latitude,longitude
Atlantic County,14,39.5143268,-74.6632883
Bergen County,1505,40.9678345,-74.0563254
Burlington County,88,39.9325409,-74.7226665
Camden County,95,39.8014709,-74.968553
Cape May County,7,39.1765386,-74.8012119
Cumberland County,9,39.3183341,-75.1623239
Essex County,826,40.7913922,-74.2479444
Gloucester County,40,39.7267303,-75.1535378
Hudson County,594,40.7381635,-74.0550731
Hunterdon County ,52,40.5770634,-74.9261552
Mercer County,131,40.2807177,-74.7033717
Middlesex County,640,40.4279708,-74.3963102
Monmouth County,634,40.2932319,-74.1671114
Morris County,391,40.8679538,-74.5601181
Ocean County,484,39.977818,-74.3319287
Passaic County,484,41.0461864,-74.3177933
Salem County,3,39.5980987,-75.3488201
Somerset County,222,40.5675084,-74.6189556
Sussex County,65,41.133372,-74.6930393
Union County,519,40.6652251,-74.3045277
Warren County,38,40.8602222,-74.9720493
