state,cases,deaths,serious,critical,recovered,latitude,longitude
Alabama,242,0,,,,33.2588817,33.2588817
Alaska,36,0,,,,64.4459613,64.4459613
American Samoa,0,0,,,,-14.300630949999999,-14.300630949999999
Arizona,326,5,,,1,34.395342,34.395342
Arkansas,230,2,,,,35.2048883,35.2048883
California,,51,,1,1,36.7014631,36.7014631
Colorado,720,10,,,,38.7251776,38.7251776
Connecticut,618,12,,,,41.6500201,41.6500201
Delaware,104,0,,,,38.6920451,38.6920451
Diamond Princess (repatriated),46,0,,,2,,
District of Columbia,137,2,,,,38.893661249999994,38.893661249999994
Florida,,18,,,,27.7567667,27.7567667
Georgia,,32,,,,32.3293809,32.3293809
Grand Princess,21,0,,,,,
Guam,29,1,,,,13.450125700000001,13.450125700000001
Hawaii,91,1,,,,21.2160437,21.2160437
Idaho,50,0,,,,43.6447642,43.6447642
Illinois,,16,,,2,40.0796606,40.0796606
Indiana,259,7,,,,40.3270127,40.3270127
Iowa,124,1,,,,41.9216734,41.9216734
Kansas,99,2,,,,38.27312,38.27312
Kentucky,124,3,,,,37.5726028,37.5726028
Louisiana,,46,,,,30.8703881,30.8703881
Maine,107,0,,,3,45.709097,45.709097
Maryland,349,4,,,,39.5162234,39.5162234
Massachusetts,,11,,,,42.3788774,42.3788774
Michigan,,24,,,,43.6211955,43.6211955
Minnesota,262,1,,1,,45.9896587,45.9896587
Mississippi,249,1,,,,32.9715645,32.9715645
Missouri,269,8,,,,38.7604815,38.7604815
Montana,45,0,,,,47.3752671,47.3752671
Nebraska,50,0,,,,41.7370229,41.7370229
Nevada,278,4,,,,39.5158825,39.5158825
New Hampshire,101,1,,,,43.4849133,43.4849133
New Jersey,,44,,,,40.0757384,40.0757384
New Mexico,83,0,,,,34.5708167,34.5708167
New York,,271,450,,,40.7127281,40.7127281
North Carolina,458,0,,,,35.6729639,35.6729639
North Dakota,32,0,,,,47.6201461,47.6201461
Northern Mariana Islands,0,0,,,,14.149020499999999,14.149020499999999
Ohio,442,6,,,,40.2253569,40.2253569
Oklahoma,81,2,,,,34.9550817,34.9550817
Oregon,209,8,,,,43.9792797,43.9792797
Pennsylvania,644,3,,1,,40.9699889,40.9699889
Puerto Rico,31,2,,,,18.2214149,18.2214149
Rhode Island,106,0,,,,41.7962409,41.7962409
South Carolina,298,3,,,,33.6874388,33.6874388
South Dakota,28,1,,,6,44.6471761,44.6471761
Tennessee,615,2,,,,35.7730076,35.7730076
Texas,918,11,,1,,31.8160381,31.8160381
U.S. Virgin Islands,17,0,,,,17.789187,17.789187
Utah,298,1,,,,39.4225192,39.4225192
Vermont,95,7,,,,44.5990718,44.5990718
Virginia,254,6,,,,37.1232245,37.1232245
Washington,,110,,,19,38.8948932,38.8948932
West Virginia,39,0,,,,38.4758406,38.4758406
Wisconsin,416,6,,,1,44.4308975,44.4308975
Wuhan (repatriated),3,0,,,,,
Wyoming,28,0,,,,43.1700264,43.1700264
