country,cases,new_cases,deaths,new_deaths,percent_deaths,serious_and_critical,recovered,latitude,longitude
Afghanistan,42,8,1,1,0.0238,,1,33.7680065,66.2385139
Albania,104,0,4,0,0.0385,3,5,41.000028,19.9999619
Algeria,230,29,17,0,0.0739,,10,28.0000272,2.9999825
Andorra,133,46,0,0,0.0,3,2,42.5407167,1.5732033
Angola,3,0,0,0,0.0,,,-11.8775768,17.5691241
Antigua and Barbuda,3,2,0,0,0.0,0,0,17.2234721,-61.9554608
Argentina,301,35,4,0,0.0133,,,-34.9964963,-64.9672817
Armenia,235,41,0,0,0.0,0,2,40.7696272,44.6736646
Aruba,12,3,0,0,0.0,,1,12.5013629,-69.9618475
Australia,,636,8,1,0.0035,,119,-24.7761086,134.755
Austria,,952,28,7,0.0057,16,9,47.2000338,13.199959
Azerbaijan,87,15,1,0,0.0115,,10,40.3936294,47.7872508
Bahamas,4,0,0,0,0.0,0,0,24.7736546,-78.0000547
Bahrain,392,15,3,1,0.0077,3,164,26.1551249,50.5344606
Bangladesh,33,0,3,0,0.0909,,5,24.4768783,90.2932426
Barbados,17,0,0,0,0.0,,,13.1500331,-59.5250305
Belarus,81,0,0,0,0.0,,22,53.4250605,27.6971358
Belgium,,0,88,0,0.0235,322,401,50.6402809,4.6667145
Belize,1,0,0,0,0.0,,0,16.8259793,-88.7600927
Benin,6,0,0,0,0.0,,,9.5293472,2.2584408
Bhutan,2,0,0,0,0.0,,,27.549511,90.5119273
Bolivia,28,1,0,0,0.0,,,-17.0568696,-64.9912286
Bosnia,137,7,1,0,0.0073,,2,44.3053476,17.5961467
Brazil,,310,46,12,0.0209,,1,-10.3333333,-53.2
Brunei,91,0,0,0,0.0,4,2,4.4137155,114.5653908
Bulgaria,201,0,3,0,0.0149,2,3,42.6073975,25.4856617
Burkina Faso,99,0,4,0,0.0404,,5,12.0753083,-1.6880314
Cambodia,87,1,0,0,0.0,,2,13.5066394,104.869423
Cameroon,66,10,0,0,0.0,,2,4.6125522,13.1535811
Canada,,714,28,3,0.01,7,185,61.0666922,-107.9917071
Cape Verde,4,0,0,0,0.0,,,16.0000552,-24.0083947
Cayman Islands,5,2,1,0,0.2,,,19.5417212,-80.5667132
Central African Republic,4,0,0,0,0.0,,,7.0323598,19.9981227
Chad,4,2,0,0,0.0,,,15.6134137,19.0156172
Chile,746,0,1,0,0.0013,,11,-31.7613365,-71.3187697
China,,47,,4,0.0404,,,35.000074,104.999927
Colombia,306,29,3,0,0.0098,,6,2.8894434,-73.783892
Congo Republic,6,0,0,0,0.0,,,8.4407908,-80.4236988
Costa Rica,158,24,2,0,0.0127,,2,10.2735633,-84.0739102
Croatia,361,46,1,0,0.0028,6,5,45.5643442,17.0118954
Cuba,40,5,1,0,0.025,3,2,23.0131338,-80.8328748
Curaçao,4,0,1,0,0.25,,,12.1845,-68.9640875031406
Cyprus,116,21,1,0,0.0086,7,,34.9823018,33.1451285
Czech Republic,,53,1,0,0.0008,2,7,49.8167003,15.4749544
DR Congo,45,15,2,0,0.0444,,1,-4.0324901,22.457478747924338
Denmark,,145,32,19,0.0187,46,3,55.670249,10.3333283
Diamond Princess,712,0,10,2,0.014,12,551,53.8953584,27.5554078
Djibouti,2,0,0,0,0.0,,,11.8145966,42.8453061
Dominican Republic,245,0,3,0,0.0122,,2,19.0974031,-70.3028026
Ecuador,,101,27,9,0.025,41,3,-1.3397668,-79.3666965
Egypt,366,39,19,5,0.0519,,68,26.2540493,29.2675469
El Salvador,5,2,0,0,0.0,,,13.8000382,-88.9140683
Equatorial Guinea,9,0,0,0,0.0,,,1.613172,10.5170357
Estonia,369,17,0,0,0.0,,7,58.7523778,25.3319078
Eswatini,5,1,0,0,0.0,0,0,-26.5624806,31.3991317
Ethiopia,11,0,0,0,0.0,,,10.2116702,38.6521203
Fiji,4,1,0,0,0.0,,0,-18.1239696,179.0122737
Finland,700,0,1,0,0.0014,13,10,63.2467777,25.9209164
France,,,,240,0.0493,,,46.603354,1.8883335
French Polynesia,23,5,0,0,0.0,,,-16.03442485,-146.0490931059517
Gabon,6,0,1,0,0.1667,,,-0.8999695,11.6899699
